district,district_id,year,avg_annual_price_per_sqm
Baoshan,2501,2015,24754.0
Baoshan,2501,2016,36722.0
Baoshan,2501,2017,43599.0
Baoshan,2501,2018,40257.0
Baoshan,2501,2019,40110.0
Baoshan,2501,2020,41745.0
Baoshan,2501,2021,48345.0
Baoshan,2501,2022,48441.0
Baoshan,2501,2023,52153.0
Baoshan,2501,2024,49199.0
Baoshan,2501,2025,45457.0
Changning,2500,2015,41640.0
Changning,2500,2016,59145.0
Changning,2500,2017,68438.0
Changning,2500,2018,70806.0
Changning,2500,2019,70356.0
Changning,2500,2020,69130.0
Changning,2500,2021,82219.0
Changning,2500,2022,84857.0
Changning,2500,2023,86502.0
Changning,2500,2024,80776.0
Changning,2500,2025,75119.0
Chongming,2502,2016,9977.0
Chongming,2502,2017,14124.0
Chongming,2502,2018,17270.0
Chongming,2502,2019,19895.0
Chongming,2502,2020,21062.0
Chongming,2502,2021,21455.0
Chongming,2502,2022,19468.0
Chongming,2502,2023,18531.0
Chongming,2502,2024,17134.0
Chongming,2502,2025,17646.0
Fengxian,2499,2015,15465.0
Fengxian,2499,2016,20190.0
Fengxian,2499,2017,26171.0
Fengxian,2499,2018,22351.0
Fengxian,2499,2019,23265.0
Fengxian,2499,2020,23784.0
Fengxian,2499,2021,25615.0
Fengxian,2499,2022,25300.0
Fengxian,2499,2023,26983.0
Fengxian,2499,2024,25868.0
Fengxian,2499,2025,26052.0
Hongkou,2498,2015,37816.0
Hongkou,2498,2016,54015.0
Hongkou,2498,2017,62862.0
Hongkou,2498,2018,57568.0
Hongkou,2498,2019,58175.0
Hongkou,2498,2020,61230.0
Hongkou,2498,2021,73679.0
Hongkou,2498,2022,73606.0
Hongkou,2498,2023,79055.0
Hongkou,2498,2024,76928.0
Hongkou,2498,2025,71105.0
Huangpu,2497,2015,48539.0
Huangpu,2497,2016,67981.0
Huangpu,2497,2017,79422.0
Huangpu,2497,2018,80760.0
Huangpu,2497,2019,82799.0
Huangpu,2497,2020,90365.0
Huangpu,2497,2021,112818.0
Huangpu,2497,2022,109765.0
Huangpu,2497,2023,127798.0
Huangpu,2497,2024,126724.0
Huangpu,2497,2025,112655.0
Jiading,2495,2015,19323.0
Jiading,2495,2016,26249.0
Jiading,2495,2017,32982.0
Jiading,2495,2018,30783.0
Jiading,2495,2019,32241.0
Jiading,2495,2020,34820.0
Jiading,2495,2021,41407.0
Jiading,2495,2022,43744.0
Jiading,2495,2023,46722.0
Jiading,2495,2024,44352.0
Jiading,2495,2025,41847.0
Jingan,2496,2015,53470.0
Jingan,2496,2016,77149.0
Jingan,2496,2017,78902.0
Jingan,2496,2018,91202.0
Jingan,2496,2019,91341.0
Jingan,2496,2020,71219.0
Jingan,2496,2021,89541.0
Jingan,2496,2022,90284.0
Jingan,2496,2023,97187.0
Jingan,2496,2024,95062.0
Jingan,2496,2025,86657.0
Jinshan,2494,2015,9196.0
Jinshan,2494,2016,11395.0
Jinshan,2494,2017,16447.0
Jinshan,2494,2018,18496.0
Jinshan,2494,2019,19058.0
Jinshan,2494,2020,18105.0
Jinshan,2494,2021,18566.0
Jinshan,2494,2022,19222.0
Jinshan,2494,2023,18474.0
Jinshan,2494,2024,17734.0
Jinshan,2494,2025,16447.0
Minhang,2492,2015,28270.0
Minhang,2492,2016,40190.0
Minhang,2492,2017,48717.0
Minhang,2492,2018,46254.0
Minhang,2492,2019,46137.0
Minhang,2492,2020,49618.0
Minhang,2492,2021,61462.0
Minhang,2492,2022,64499.0
Minhang,2492,2023,65389.0
Minhang,2492,2024,62509.0
Minhang,2492,2025,58634.0
Pudong,2491,2015,31268.0
Pudong,2491,2016,45912.0
Pudong,2491,2017,54197.0
Pudong,2491,2018,55006.0
Pudong,2491,2019,53728.0
Pudong,2491,2020,57214.0
Pudong,2491,2021,69508.0
Pudong,2491,2022,72456.0
Pudong,2491,2023,75870.0
Pudong,2491,2024,71245.0
Pudong,2491,2025,66356.0
Putuo,2490,2015,34029.0
Putuo,2490,2016,50349.0
Putuo,2490,2017,59997.0
Putuo,2490,2018,58991.0
Putuo,2490,2019,58824.0
Putuo,2490,2020,60232.0
Putuo,2490,2021,70571.0
Putuo,2490,2022,71547.0
Putuo,2490,2023,74290.0
Putuo,2490,2024,68739.0
Putuo,2490,2025,64542.0
Qingpu,2489,2015,19930.0
Qingpu,2489,2016,25344.0
Qingpu,2489,2017,33081.0
Qingpu,2489,2018,32131.0
Qingpu,2489,2019,33335.0
Qingpu,2489,2020,35868.0
Qingpu,2489,2021,40462.0
Qingpu,2489,2022,42885.0
Qingpu,2489,2023,52286.0
Qingpu,2489,2024,54352.0
Qingpu,2489,2025,51695.0
Songjiang,2488,2015,20196.0
Songjiang,2488,2016,28052.0
Songjiang,2488,2017,35977.0
Songjiang,2488,2018,32306.0
Songjiang,2488,2019,32545.0
Songjiang,2488,2020,34585.0
Songjiang,2488,2021,39204.0
Songjiang,2488,2022,40255.0
Songjiang,2488,2023,45706.0
Songjiang,2488,2024,47069.0
Songjiang,2488,2025,43574.0
Xuhui,2487,2015,44167.0
Xuhui,2487,2016,63682.0
Xuhui,2487,2017,73283.0
Xuhui,2487,2018,70592.0
Xuhui,2487,2019,71144.0
Xuhui,2487,2020,71702.0
Xuhui,2487,2021,91307.0
Xuhui,2487,2022,94052.0
Xuhui,2487,2023,93424.0
Xuhui,2487,2024,86116.0
Xuhui,2487,2025,79778.0
Yangpu,2486,2015,36806.0
Yangpu,2486,2016,54225.0
Yangpu,2486,2017,65004.0
Yangpu,2486,2018,57998.0
Yangpu,2486,2019,58004.0
Yangpu,2486,2020,59791.0
Yangpu,2486,2021,72251.0
Yangpu,2486,2022,77748.0
Yangpu,2486,2023,77814.0
Yangpu,2486,2024,72940.0
Yangpu,2486,2025,68251.0
